time,open,high,low,close,volume
2026-09-15T00:15:00+00:00,2380.12,2382.11,2377.59,2379.58,2591
2026-09-15T00:30:00+00:00,2380.63,2382.33,2378.99,2380.7,1091
2026-09-15T00:45:00+00:00,2381.66,2382.23,2380.83,2381.4,3199
2026-09-15T01:00:00+00:00,2380.78,2382.02,2379.87,2381.12,2652
2026-09-15T01:15:00+00:00,2380.26,2381.15,2379.3,2380.18,1530
2026-09-15T01:30:00+00:00,2380.84,2382.55,2378.88,2380.59,1699
2026-09-15T01:45:00+00:00,2380.85,2381.89,2379.24,2380.27,2574
2026-09-15T02:00:00+00:00,2381.18,2382.0,2380.58,2381.4,2516
2026-09-15T02:15:00+00:00,2381.65,2382.64,2380.52,2381.51,2902
2026-09-15T02:30:00+00:00,2381.89,2382.53,2381.23,2381.86,664
2026-09-15T02:45:00+00:00,2381.84,2382.74,2380.5,2381.41,2132
2026-09-15T03:00:00+00:00,2381.7,2382.07,2381.37,2381.74,1277
2026-09-15T03:15:00+00:00,2381.95,2383.08,2380.84,2381.97,2551
2026-09-15T03:30:00+00:00,2382.11,2383.34,2380.59,2381.81,3025
2026-09-15T03:45:00+00:00,2382.53,2383.79,2380.97,2382.23,839
2026-09-15T04:00:00+00:00,2380.8,2381.95,2380.22,2381.38,2375
2026-09-15T04:15:00+00:00,2381.6,2382.25,2380.54,2381.19,2226
2026-09-15T04:30:00+00:00,2381.29,2381.86,2379.84,2380.41,3185
2026-09-15T04:45:00+00:00,2381.11,2381.76,2380.67,2381.33,3408
2026-09-15T05:00:00+00:00,2381.29,2381.96,2380.96,2381.63,2227
2026-09-15T05:15:00+00:00,2382.2,2382.54,2381.39,2381.72,723
2026-09-15T05:30:00+00:00,2381.48,2382.76,2380.21,2381.49,3878
2026-09-15T05:45:00+00:00,2382.89,2384.18,2380.81,2382.1,2328
2026-09-15T06:00:00+00:00,2381.39,2383.04,2379.99,2381.64,2932
2026-09-15T06:15:00+00:00,2380.31,2382.09,2378.98,2380.76,2189
2026-09-15T06:30:00+00:00,2380.75,2381.37,2380.08,2380.7,2434
2026-09-15T06:45:00+00:00,2380.73,2381.51,2379.98,2380.77,3300
2026-09-15T07:00:00+00:00,2381.8,2383.25,2379.34,2380.78,861
2026-09-15T07:15:00+00:00,2381.14,2381.84,2380.13,2380.83,2830
2026-09-15T07:30:00+00:00,2380.24,2381.26,2379.88,2380.89,1267
2026-09-15T07:45:00+00:00,2381.29,2381.95,2380.62,2381.28,1093
2026-09-15T08:00:00+00:00,2380.76,2381.1,2380.25,2380.59,3074
2026-09-15T08:15:00+00:00,2380.51,2381.14,2379.47,2380.1,715
2026-09-15T08:30:00+00:00,2379.34,2379.66,2378.96,2379.28,560
2026-09-15T08:45:00+00:00,2380.09,2381.2,2378.68,2379.79,1779
2026-09-15T09:00:00+00:00,2379.74,2380.1,2379.14,2379.5,3919
2026-09-15T09:15:00+00:00,2379.7,2380.02,2379.02,2379.34,2297
2026-09-15T09:30:00+00:00,2379.74,2380.56,2378.97,2379.79,3765
2026-09-15T09:45:00+00:00,2380.25,2382.25,2378.62,2380.62,2453
2026-09-15T10:00:00+00:00,2380.86,2382.68,2379.5,2381.32,1614
2026-09-15T10:15:00+00:00,2381.49,2382.8,2380.14,2381.45,3166
2026-09-15T10:30:00+00:00,2382.33,2383.06,2380.87,2381.61,1860
2026-09-15T10:45:00+00:00,2381.88,2383.35,2380.64,2382.11,3910
2026-09-15T11:00:00+00:00,2381.74,2382.74,2381.14,2382.14,1508
2026-09-15T11:15:00+00:00,2382.34,2383.49,2380.5,2381.65,3807
2026-09-15T11:30:00+00:00,2380.9,2382.55,2379.44,2381.09,1816
2026-09-15T11:45:00+00:00,2381.68,2382.82,2379.92,2381.05,3707
2026-09-15T12:00:00+00:00,2380.43,2382.39,2378.67,2380.63,3824
2026-09-15T12:15:00+00:00,2381.07,2383.62,2379.18,2381.73,3765
2026-09-15T12:30:00+00:00,2383.28,2384.01,2381.98,2382.71,2547
2026-09-15T12:45:00+00:00,2383.28,2383.86,2382.03,2382.61,1320
2026-09-15T13:00:00+00:00,2382.97,2383.57,2381.74,2382.35,1458
2026-09-15T13:15:00+00:00,2382.79,2383.35,2381.74,2382.29,1543
2026-09-15T13:30:00+00:00,2382.76,2383.15,2382.34,2382.73,2076
2026-09-15T13:45:00+00:00,2382.31,2382.93,2381.92,2382.55,1453
2026-09-15T14:00:00+00:00,2381.54,2382.91,2380.46,2381.83,1563
2026-09-15T14:15:00+00:00,2382.77,2383.71,2381.3,2382.24,1274
2026-09-15T14:30:00+00:00,2382.16,2382.72,2381.78,2382.34,3800
2026-09-15T14:45:00+00:00,2382.58,2383.61,2381.19,2382.21,2618
2026-09-15T15:00:00+00:00,2382.27,2382.95,2381.36,2382.04,2520
2026-09-15T15:15:00+00:00,2382.36,2382.93,2381.32,2381.89,1139
2026-09-15T15:30:00+00:00,2381.22,2381.69,2380.84,2381.31,1649
2026-09-15T15:45:00+00:00,2380.03,2381.54,2379.71,2381.22,2816
2026-09-15T16:00:00+00:00,2381.47,2382.85,2380.14,2381.52,1571
2026-09-15T16:15:00+00:00,2381.49,2382.44,2380.9,2381.85,2929
2026-09-15T16:30:00+00:00,2383.07,2384.23,2380.97,2382.13,1540
2026-09-15T16:45:00+00:00,2381.98,2383.27,2381.07,2382.37,612
2026-09-15T17:00:00+00:00,2382.19,2383.62,2380.93,2382.36,3390
2026-09-15T17:15:00+00:00,2381.18,2382.11,2380.38,2381.31,2949
2026-09-15T17:30:00+00:00,2381.92,2383.37,2379.77,2381.22,3393
2026-09-15T17:45:00+00:00,2382.09,2382.55,2381.11,2381.56,3243
2026-09-15T18:00:00+00:00,2381.33,2382.13,2380.51,2381.32,3980
2026-09-15T18:15:00+00:00,2381.67,2384.0,2379.61,2381.95,658
2026-09-15T18:30:00+00:00,2382.28,2384.36,2379.86,2381.94,742
2026-09-15T18:45:00+00:00,2382.68,2384.04,2381.38,2382.74,3720
2026-09-15T19:00:00+00:00,2382.68,2384.29,2381.02,2382.63,3619
2026-09-15T19:15:00+00:00,2382.37,2383.11,2382.05,2382.78,1314
2026-09-15T19:30:00+00:00,2383.69,2384.28,2382.79,2383.38,2922
2026-09-15T19:45:00+00:00,2383.16,2383.88,2382.06,2382.78,2097
2026-09-15T20:00:00+00:00,2382.54,2383.81,2381.59,2382.86,1190
2026-09-15T20:15:00+00:00,2381.38,2382.93,2380.56,2382.11,2416
2026-09-15T20:30:00+00:00,2381.88,2382.29,2381.22,2381.62,647
2026-09-15T20:45:00+00:00,2381.61,2383.66,2380.05,2382.1,2028
2026-09-15T21:00:00+00:00,2382.54,2383.17,2381.76,2382.4,2331
2026-09-15T21:15:00+00:00,2383.46,2384.23,2382.62,2383.39,807
2026-09-15T21:30:00+00:00,2383.35,2384.46,2382.36,2383.46,3871
2026-09-15T21:45:00+00:00,2383.73,2384.42,2382.79,2383.49,3514
2026-09-15T22:00:00+00:00,2383.57,2385.28,2382.09,2383.79,2766
2026-09-15T22:15:00+00:00,2383.92,2385.02,2383.07,2384.17,1510
2026-09-15T22:30:00+00:00,2384.29,2385.21,2383.63,2384.55,3938
2026-09-15T22:45:00+00:00,2384.34,2386.02,2382.64,2384.32,2368
2026-09-15T23:00:00+00:00,2384.66,2385.28,2383.92,2384.55,2603
2026-09-15T23:15:00+00:00,2385.58,2386.47,2384.55,2385.45,2455
2026-09-15T23:30:00+00:00,2385.35,2385.86,2384.67,2385.18,3591
2026-09-15T23:45:00+00:00,2383.9,2386.34,2382.87,2385.31,1475
2026-09-16T00:00:00+00:00,2385.04,2386.07,2384.2,2385.23,1164
2026-09-16T00:15:00+00:00,2386.21,2386.97,2385.16,2385.91,565
2026-09-16T00:30:00+00:00,2386.95,2388.31,2385.76,2387.12,2592
2026-09-16T00:45:00+00:00,2386.9,2387.48,2386.56,2387.14,1261
2026-09-16T01:00:00+00:00,2386.58,2387.11,2386.13,2386.67,2175
2026-09-16T01:15:00+00:00,2386.63,2388.11,2385.31,2386.79,3655
2026-09-16T01:30:00+00:00,2386.76,2387.37,2386.4,2387.01,2960
2026-09-16T01:45:00+00:00,2387.55,2388.01,2386.72,2387.18,1621
2026-09-16T02:00:00+00:00,2386.66,2387.35,2386.17,2386.86,3243
2026-09-16T02:15:00+00:00,2386.88,2388.59,2384.94,2386.65,769
2026-09-16T02:30:00+00:00,2386.95,2387.6,2385.86,2386.5,3945
2026-09-16T02:45:00+00:00,2386.34,2387.05,2385.78,2386.48,3948
2026-09-16T03:00:00+00:00,2386.85,2388.39,2384.57,2386.11,869
2026-09-16T03:15:00+00:00,2387.9,2388.37,2386.63,2387.1,1590
2026-09-16T03:30:00+00:00,2386.72,2387.54,2386.41,2387.23,2003
2026-09-16T03:45:00+00:00,2388.63,2389.21,2387.34,2387.92,1958
2026-09-16T04:00:00+00:00,2387.58,2388.74,2386.36,2387.52,2612
2026-09-16T04:15:00+00:00,2387.88,2388.53,2387.26,2387.91,1814
2026-09-16T04:30:00+00:00,2389.55,2390.14,2388.17,2388.76,2860
2026-09-16T04:45:00+00:00,2388.07,2389.35,2387.49,2388.77,2526
2026-09-16T05:00:00+00:00,2387.94,2388.44,2387.47,2387.97,3795
2026-09-16T05:15:00+00:00,2387.61,2388.22,2387.27,2387.89,1247
2026-09-16T05:30:00+00:00,2387.53,2388.47,2386.88,2387.83,2774
2026-09-16T05:45:00+00:00,2387.37,2388.36,2386.89,2387.88,1299
2026-09-16T06:00:00+00:00,2387.52,2388.69,2387.11,2388.28,3108
2026-09-16T06:15:00+00:00,2387.85,2388.6,2387.05,2387.8,884
2026-09-16T06:30:00+00:00,2387.72,2388.07,2387.25,2387.6,1004
2026-09-16T06:45:00+00:00,2387.01,2387.56,2386.48,2387.03,997
2026-09-16T07:00:00+00:00,2386.69,2387.47,2386.03,2386.81,2924
2026-09-16T07:15:00+00:00,2387.08,2387.95,2386.0,2386.86,2124
